vehicle,fm,Mileage,lh,lc,mc,State
1,0,863,1.1,66.3,697.23,MS
2,10,4644,2.4,233.03,119.66,CA
3,15,16330,4.2,325.08,175.46,WI
4,0,13,1,66.64,0,OR
5,13,22537,4.5,328.66,175.46,AZ
6,21,40931,3.1,205.28,175.46,FL
7,11,34762,0.7,49.17,145.2,LA
8,5,11051,2.9,208.8,270.04,GA
9,8,7003,3.4,212.06,119.66,WA
10,1,11,0.7,44.43,0,
11,17,24879,3.5,260.29,119.66,TX
12,3,5339,3.2,236.93,440.13,LA
13,14,29782,10,695.1,228.12,FL
14,19,56111,2,116,183.31,OH
15,13,21946,3.8,312.36,175.46,MA
16,8,3101,3.1,220.61,119.66,VA
17,15,41965,0.9,66.25,119.66,OH
18,3,15365,2,158.94,175.46,CO
19,12,NA,4.9,319.51,119.66,FL
20,8,NA,1.4,87.42,1.85,NH
21,18,29987,2.6,182.17,128.21,IN
22,11,20694,2.3,194.48,119.66,CA
23,16,20879,0.2,10.57,0,MT
24,20,17503,4.1,308.6,119.66,NY
25,17,24568,4.8,373.44,119.66,TX
26,11,14400,2.1,145.79,119.66,UT
27,18,12220,0.8,66.93,119.66,MA
28,8,14319,1.9,141.1,119.66,VA
29,0,5,0.5,34.01,8.23,MA
30,10,34644,4.7,341.22,119.66,FL
31,17,24719,2.4,147.98,119.66,NY
32,4,13259,2.5,170.77,119.66,VA
33,6,12424,1.7,148.6,145.3,NJ
34,5,7702,2.7,165.97,323.31,MI
35,0,10,3,176.18,118.47,NY
36,9,15017,3.7,286.01,119.66,UT
37,17,19489,0.5,37.53,0,MA
38,7,5461,0.8,55.67,119.66,MN
39,5,11912,9.5,543.49,119.66,WI
40,8,20370,0.7,56.6,128.21,IL
41,4,3879,1.8,122.25,175.46,CA
42,17,20831,1.3,107.21,119.66,CT
43,3,4417,4.9,365.68,119.66,MN
44,6,6781,0.8,47.6,119.66,SC
45,4,6244,3.3,267.3,204.95,CA
46,22,41053,4,286.91,119.66,NC
